Participant,Code,SA,WC
R_1q8krIvLEJ3j0pb,Learning,0,0
R_3oAQTxmzOMfmpt0,Learning,0,0
R_1MLhtqg7DgdY8QS,Learning,0,0
R_2VF6yktCYVkE1i7,Learning,0,0
R_vIFa5Yebl7dgqMp,Learning,0,0
R_2bHt8krvkSnuJnA,Learning,0,0
R_1OC77hkgQD1pbau,Learning,0,0
R_3EWn1lSeir5GppN,Learning,0,0
R_V3FeEzJxhRyhzkR,Learning,0,0
R_ag6C3z6imS97ZhD,Learning,0,0
R_3qsAfG1caxGz2Q9,Learning,0,0
R_agRF4BRBrpWQlVf,Learning,0,0
R_UN1wTAy0DUgXZa9,Learning,0,0
R_3R2CXDi3bgpjtl9,Learning,0,0
R_1hMsa900oQzhal2,Learning,0,0
R_cCldl4C774WE1Wx,Learning,0,0
R_2qdz9Mz0w1yS6Ni,Learning,0,0
R_129klAb70wVE8nV,Learning,0,0
R_1FaATZy8M1RAu6h,Learning,0,0
R_2wRZfpxNKAfeGE8,Learning,0,0
R_3nD7F2dzdD8kpBR,Learning,0,0
R_1EWEcHwhp2WHYRk,Learning,1,1
R_2c1Qc26OjSeaU5l,Learning,0,0
R_6Kz1PQKJxJe38dz,Learning,1,1
R_1N8mIOFdBoPfLDl,Learning,1,1
R_2qDjNFXJKIXsxov,Learning,1,1
R_25FNrPiDpQhM0K0,Learning,0,0
R_2dnBuYZjdwmrUj9,Learning,1,1
R_2R3VmGs8QRZXtpX,Learning,1,0
R_3kKTZSzLqWu8iHk,Learning,1,1
R_3fl9nAopgctaa6H,Learning,1,1
R_1kTgqnyiWiHvFhh,Learning,0,0
R_2SAKTxVZGPIVYYe,Learning,0,0
R_25tj2uxQEanxfZc,Learning,1,0
R_1Ka6xPzmjZZzV9Y,Learning,1,1
R_21ERySWdImjqISp,Learning,1,1
R_2DYAGF4C0QSP1nv,Learning,0,0
R_wZvBlibeCHVOYWR,Learning,0,0
R_u1BcdY5KNOJ38Ln,Learning,0,0
R_tY6PkIDjIma8SXf,Learning,1,1
R_r9K48FtWeVglg5z,Learning,1,1
R_Ast0bnCTEiK7UqZ,Learning,1,1
R_2rU55Tvp9j6g2WJ,Learning,1,1
R_3WaGZ55uC8exTFL,Learning,0,0
R_ykWTWqYwPyxerUR,Learning,1,1
R_3J41aNjWqWglA5z,Learning,0,0
R_1DUuURSlICWnjZy,Learning,0,0
R_2QJWN71gm5B9grG,Learning,0,0
R_3PcxtggChxaCAGs,Learning,1,1
R_3GADq6sRkCQS6of,Learning,1,1
R_2cde7Lw6i0pR9q4,Learning,1,1
R_R4RzVd2A0g6g8ud,Learning,1,1
R_BJ2b3DmleBe7yrT,Learning,0,0
R_25szpAxuCo3KS5X,Learning,1,1
R_2tMeAgWM7Hu2YoS,Learning,0,0
R_1oaUpBh06TGnL7E,Learning,0,0
R_1FqrwL1wBa1NQtz,Learning,1,1
R_9Lw7GUmlIKR6usN,Learning,0,0
R_1r857dGVHsfrRFg,Learning,1,0
R_3e1RAJcNLaYx9iM,Learning,1,1
R_3JDFtdIj9el97E8,Learning,0,0
R_3FJAtwogktuUsMX,Learning,1,0
R_2zjO0jKVcChSNDa,Learning,1,1
R_2OYJBXrxzNJylCO,Learning,0,0
R_SBmDM4I2jiTZ2Kt,Learning,0,0
R_2CPb9bgvAL54qha,Learning,1,1
R_1M4hWjMnLZqIaQa,Learning,1,1
R_1MKZQU01gtj2Qqi,Learning,0,0
R_vAGihKR8zcQ4sLv,Learning,0,0
R_2xRdSCQPRCliJZ5,Learning,1,1
R_2ZQuiVeqOhaOFi0,Learning,1,1
R_2e9EbIte08ICFm1,Learning,1,1
R_1dMrLLPnNvzblGn,Learning,1,1
R_vUe5vQSGTNYiCc1,Learning,1,0
R_3JmBndLd8M7XWqc,Learning,1,1
R_3NE7xGV3llYkLrA,Learning,1,1
R_6SGiWvfyIUoLPz3,Learning,1,1
R_Q4CUPDneXBn3DtT,Learning,1,1
R_3ndr3MQIUKjS64A,Learning,0,0
R_dhW2ZU18HeVt8eB,Learning,1,1
R_2TNw9SWlDB1HkQ7,Learning,0,0
R_OMVIy7LkK5u2Xfj,Learning,1,1
R_1BWbZbB3SsUVN7t,Learning,0,0
R_3M6HgNlFYyiQXV7,Learning,1,1
R_1nOb0Rw9YKU2CPS,Learning,1,1
R_86Nw6dPuNMe8DjX,Learning,0,0
R_3pfDhOUmPTOtmtj,Learning,0,0
R_3hgufhiQBPxNDWe,Learning,0,0
R_1lhiLCiOLEdCRVj,Learning,0,0
R_22PnpnMfN2c1wdL,Learning,0,0
R_3Hn3zpmMaZIGmNs,Learning,1,1
R_3O85bLtoc1R2UeS,Learning,0,0
R_cuaHimCFUL6Xtbb,Learning,0,0
R_25WN4bQpKrScEE4,Learning,0,0
R_3IbIYD2nZ6LDfDr,Learning,0,0
R_XtyrSEaB9cNEJ6p,Learning,0,0
R_4GH2ql8dl0px105,Learning,0,0
R_tJUXqyElrMDTSPD,Learning,0,0
R_3jfHcc05qujH0S2,Learning,0,0
