Respondent ID,Code ,SA,MM
6297114236,AbsenceHarm,0,0
6297115726,AbsenceHarm,0,0
6297118264,AbsenceHarm,0,0
6297119394,AbsenceHarm,0,0
6297119672,AbsenceHarm,0,0
6297123538,AbsenceHarm,0,0
6297125861,AbsenceHarm,0,0
6297127371,AbsenceHarm,0,0
6297128451,AbsenceHarm,0,0
6297130748,AbsenceHarm,0,0
6297131849,AbsenceHarm,0,0
6297134390,AbsenceHarm,1,1
6297135218,AbsenceHarm,0,0
6297136368,AbsenceHarm,0,0
6297137719,AbsenceHarm,1,1
6297143131,AbsenceHarm,1,0
6297143573,AbsenceHarm,0,0
6297144359,AbsenceHarm,0,0
6297147095,AbsenceHarm,0,0
6297147723,AbsenceHarm,0,0
6297153605,AbsenceHarm,0,1
6297162712,AbsenceHarm,0,0
6297164295,AbsenceHarm,0,0
6297164684,AbsenceHarm,0,0
6297173237,AbsenceHarm,0,0
6297182938,AbsenceHarm,0,0
6297183440,AbsenceHarm,0,0
6297183511,AbsenceHarm,0,0
6297186867,AbsenceHarm,0,0
6297188506,AbsenceHarm,0,0
6297192335,AbsenceHarm,0,0
6297194482,AbsenceHarm,0,0
6297199671,AbsenceHarm,0,0
6297199847,AbsenceHarm,1,1
6297200501,AbsenceHarm,0,0
6297200628,AbsenceHarm,0,0
6297200635,AbsenceHarm,0,0
6297202377,AbsenceHarm,0,0
6297202950,AbsenceHarm,0,0
6297204378,AbsenceHarm,0,0
6297214605,AbsenceHarm,0,0
6297218301,AbsenceHarm,0,0
6297250553,AbsenceHarm,0,0
6297268319,AbsenceHarm,0,0
6297273339,AbsenceHarm,1,0
6297276868,AbsenceHarm,0,0
6297286332,AbsenceHarm,0,0
6297305259,AbsenceHarm,0,0
6297348086,AbsenceHarm,0,0
6297353021,AbsenceHarm,0,0
6297357432,AbsenceHarm,0,0
6297358181,AbsenceHarm,0,0
6297358630,AbsenceHarm,0,0
6297384573,AbsenceHarm,0,0
6297388125,AbsenceHarm,0,0
6297399576,AbsenceHarm,0,0
6297402305,AbsenceHarm,1,0
6297446232,AbsenceHarm,0,0
6297459273,AbsenceHarm,0,0
6297480451,AbsenceHarm,1,1
6297481285,AbsenceHarm,0,0
6297503428,AbsenceHarm,0,0
6297538474,AbsenceHarm,0,0
6297540267,AbsenceHarm,0,0
6297568973,AbsenceHarm,0,0
6297634747,AbsenceHarm,0,0
6297657007,AbsenceHarm,0,0
6297679841,AbsenceHarm,0,0
6297085434,AbsenceHarm,0,0
6297085888,AbsenceHarm,0,0
6297087370,AbsenceHarm,1,1
6297087586,AbsenceHarm,0,0
6297087596,AbsenceHarm,1,0
6297088535,AbsenceHarm,0,0
6297089491,AbsenceHarm,0,0
6297090036,AbsenceHarm,1,1
6297092146,AbsenceHarm,0,0
6297093732,AbsenceHarm,0,0
